Accommodation name,Property ID,Date,Day,Price per night without tax,Year,Month,Day of the Week,Weekend
Test home 1,123456,2022-03-23,2,82.0,2022,3,Wednesday,False
Test home 1,123456,2022-03-24,3,121.0,2022,3,Thursday,False
Test home 1,123456,2022-03-25,4,170.0,2022,3,Friday,False
Test home 1,123456,2022-03-26,5,180.0,2022,3,Saturday,True
Test home 1,123456,2022-03-27,6,107.0,2022,3,Sunday,True
Test home 1,123456,2022-03-28,0,100.0,2022,3,Monday,False
Test home 1,123456,2022-03-29,1,98.0,2022,3,Tuesday,False
Test home 1,123456,2022-03-30,2,160.0,2022,3,Wednesday,False
Test home 1,123456,2022-03-31,3,161.0,2022,3,Thursday,False
Test home 1,123456,2022-04-01,4,206.0,2022,4,Friday,False
Test home 1,123456,2022-04-02,5,234.0,2022,4,Saturday,True
Test home 1,123456,2022-04-03,6,200.0,2022,4,Sunday,True
Test home 1,123456,2022-04-04,0,173.0,2022,4,Monday,False
Test home 1,123456,2022-04-05,1,176.0,2022,4,Tuesday,False
Test home 1,123456,2022-04-06,2,135.0,2022,4,Wednesday,False
Test home 1,123456,2022-04-07,3,145.0,2022,4,Thursday,False
Test home 1,123456,2022-04-08,4,131.0,2022,4,Friday,False
Test home 1,123456,2022-04-09,5,143.0,2022,4,Saturday,True
Test home 1,123456,2022-04-10,6,195.0,2022,4,Sunday,True
Test home 1,123456,2022-04-11,0,146.0,2022,4,Monday,False
Test home 1,123456,2022-04-12,1,158.0,2022,4,Tuesday,False
Test home 1,123456,2022-04-13,2,164.0,2022,4,Wednesday,False
Test home 1,123456,2022-04-14,3,418.0,2022,4,Thursday,False
Test home 1,123456,2022-04-15,4,519.0,2022,4,Friday,False
Test home 1,123456,2022-04-16,5,366.0,2022,4,Saturday,True
Test home 1,123456,2022-04-17,6,276.0,2022,4,Sunday,True
Test home 1,123456,2022-04-18,0,153.0,2022,4,Monday,False
Test home 1,123456,2022-04-19,1,117.0,2022,4,Tuesday,False
Test home 1,123456,2022-04-20,2,151.0,2022,4,Wednesday,False
Test home 1,123456,2022-04-21,3,156.0,2022,4,Thursday,False
