Booking number,Booking Date,Status,Check-in date,Check-out date,nights,Price per night without tax,Rent with VAT on top,Rent without VAT,Extras with VAT on top,Extras without VAT,Booking total with tax,Booking total without tax,Total tax,Paid,Adults,Children,Babies,Accommodation name,Property ID,Building,City,Portal / Agent,Website of origin,Booking window,Check-in Month,Season,Check-in Day,Weekend
TEST22,2024-05-19,Confirmed,2024-05-19,2024-05-20,1.0,307.0,307.0,307.0,65.0,65.0,372.0,372.0,0.0,372.0,1,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,5,Medium,Sunday,True
TEST23,2024-05-16,Confirmed,2024-05-16,2024-05-19,3.0,289.33,868.0,868.0,65.0,65.0,933.0,933.0,0.0,933.0,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,5,Medium,Thursday,False
TEST24,2024-04-30,Confirmed,2024-06-23,2024-06-30,7.0,317.48,2222.37,2222.37,65.0,65.0,2322.37,2287.37,35.0,2322.37,5,1,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,54,6,Medium,Sunday,True
TEST25,2024-04-25,Confirmed,2024-04-25,2024-04-26,1.0,222.75,222.75,222.75,65.0,65.0,291.75,287.75,4.0,287.75,4,3,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,4,Medium,Thursday,False
TEST26,2024-04-21,Confirmed,2024-05-02,2024-05-15,13.0,330.44,4295.71,4295.71,65.0,65.0,4402.71,4360.71,42.0,4360.71,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homes & Villas by Marriott International,homes-and-villas.marriott.com,11,5,Medium,Thursday,False
TEST27,2024-04-15,Confirmed,2024-04-15,2024-04-16,1.0,128.7,128.7,128.7,65.0,65.0,196.7,193.7,3.0,193.7,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,4,Medium,Monday,False
TEST28,2024-04-13,Confirmed,2024-06-14,2024-06-18,4.0,447.17,1788.68,1788.68,65.0,65.0,1881.68,1853.68,28.0,1881.68,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,Homeaway.com,www.vrbo.com,62,6,Medium,Friday,False
TEST29,2024-04-09,Confirmed,2024-04-12,2024-04-15,3.0,249.81,749.43,749.43,65.0,65.0,829.43,814.43,15.0,829.43,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,3,4,Medium,Friday,False
TEST30,2024-04-05,Confirmed,2024-04-26,2024-05-01,5.0,426.78,2133.9,2133.9,65.0,65.0,2213.9,2198.9,15.0,2213.9,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,21,4,Medium,Friday,False
TEST31,2024-04-02,Confirmed,2024-04-03,2024-04-04,1.0,95.0,95.0,95.0,65.0,65.0,164.0,160.0,4.0,164.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,1,4,Medium,Wednesday,False
TEST32,2024-04-02,Confirmed,2024-04-23,2024-04-25,2.0,390.06,780.12,780.12,65.0,65.0,851.12,845.12,6.0,845.12,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,21,4,Medium,Tuesday,False
TEST33,2024-03-27,Confirmed,2024-04-16,2024-04-18,2.0,199.35,398.7,398.7,65.0,65.0,469.7,463.7,6.0,469.7,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,20,4,Medium,Tuesday,False
TEST34,2024-03-26,Confirmed,2024-04-04,2024-04-12,8.0,223.91,1791.24,1791.24,65.0,65.0,1891.24,1856.24,35.0,1856.24,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,9,4,Medium,Thursday,False
TEST35,2024-03-26,Confirmed,2024-03-28,2024-03-30,2.0,234.63,469.26,469.26,65.0,65.0,542.26,534.26,8.0,542.26,4,3,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,2,3,Low,Thursday,False
TEST36,2024-03-25,Confirmed,2024-05-20,2024-05-24,4.0,293.15,1172.6,1172.6,65.0,65.0,1261.6,1237.6,24.0,1261.6,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,56,5,Medium,Monday,False
TEST37,2024-03-19,Confirmed,2024-03-20,2024-03-21,1.0,112.86,112.86,112.86,102.98,102.98,218.84,215.84,3.0,218.84,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,3,Low,Wednesday,False
TEST38,2024-03-17,Confirmed,2024-04-19,2024-04-23,4.0,298.58,1194.3,1194.3,65.0,65.0,1267.3,1259.3,8.0,1259.3,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,33,4,Medium,Friday,False
TEST39,2024-03-14,Confirmed,2024-03-19,2024-03-20,1.0,204.93,204.93,204.93,65.0,65.0,275.93,269.93,6.0,275.93,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,5,3,Low,Tuesday,False
TEST40,2024-03-10,Confirmed,2024-03-30,2024-04-03,4.0,207.23,828.9,828.9,65.0,65.0,913.9,893.9,20.0,893.9,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,20,3,Low,Saturday,True
TEST41,2024-03-03,Confirmed,2024-03-03,2024-03-06,3.0,91.67,275.0,275.0,65.0,65.0,348.0,340.0,8.0,348.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,3,Low,Sunday,True
TEST42,2024-03-02,Confirmed,2024-03-02,2024-03-03,1.0,117.8,117.8,117.8,0.0,0.0,121.8,117.8,4.0,121.8,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Extension (direct),Direct,0,3,Low,Saturday,True
TEST43,2024-03-01,Confirmed,2024-03-01,2024-03-02,1.0,105.0,105.0,105.0,65.0,65.0,178.0,170.0,8.0,178.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,0,3,Low,Friday,False
TEST44,2024-02-26,Confirmed,2024-02-26,2024-03-01,4.0,255.17,1020.69,1020.69,65.0,65.0,1097.69,1085.69,12.0,1097.69,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,2,Low,Monday,False
TEST45,2024-02-25,Confirmed,2024-03-21,2024-03-26,5.0,206.0,1030.0,1030.0,65.0,65.0,1115.0,1095.0,20.0,1115.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,25,3,Low,Thursday,False
TEST46,2024-02-08,Confirmed,2024-02-10,2024-02-12,2.0,127.71,255.42,255.42,65.0,65.0,328.42,320.42,8.0,328.42,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,2,2,Low,Saturday,True
TEST47,2024-02-08,Confirmed,2024-03-11,2024-03-18,7.0,204.62,1432.33,1432.33,382.99,382.99,1832.26,1815.32,16.94,1832.26,2,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,32,3,Low,Monday,False
TEST48,2024-02-05,Confirmed,2024-03-06,2024-03-10,4.0,238.59,954.36,954.36,65.0,65.0,1047.36,1019.36,28.0,1047.36,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,30,3,Low,Wednesday,False
TEST49,2024-01-27,Confirmed,2024-01-27,2024-01-28,1.0,102.96,102.96,102.96,65.0,65.0,172.96,167.96,5.0,172.96,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,1,Low,Saturday,True
TEST50,2024-01-15,Confirmed,2024-02-12,2024-02-26,14.0,225.97,3163.53,3163.53,65.0,65.0,3256.53,3228.53,28.0,3256.53,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,28,2,Low,Monday,False
TEST51,2024-01-10,Confirmed,2024-01-18,2024-01-21,3.0,114.43,343.29,343.29,65.0,65.0,429.29,408.29,21.0,429.29,7,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,8,1,Low,Thursday,False
TEST52,2024-01-05,Confirmed,2024-01-08,2024-01-12,4.0,83.6,334.4,334.4,65.0,65.0,411.4,399.4,12.0,411.4,4,1,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,3,1,Low,Monday,False
TEST53,2024-01-03,Confirmed,2024-01-25,2024-01-27,2.0,141.75,283.5,283.5,65.0,65.0,358.5,348.5,10.0,358.5,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,22,1,Low,Thursday,False
TEST54,2024-01-03,Confirmed,2024-01-28,2024-02-04,7.0,181.12,1267.87,1267.87,65.0,65.0,1360.87,1332.87,28.0,1360.87,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,25,1,Low,Sunday,True
TEST55,2024-01-02,Confirmed,2024-01-13,2024-01-17,4.0,87.64,350.57,350.57,65.0,65.0,435.57,415.57,20.0,435.57,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,11,1,Low,Saturday,True
TEST56,2023-12-25,Confirmed,2023-12-26,2023-12-29,3.0,164.9,494.7,494.7,65.0,65.0,571.7,559.7,12.0,571.7,4,3,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,12,Medium,Tuesday,False
TEST57,2023-12-20,Confirmed,2024-02-05,2024-02-09,4.0,97.81,391.25,391.25,65.0,65.0,468.25,456.25,12.0,468.25,3,2,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,47,2,Low,Monday,False
TEST58,2023-12-13,Confirmed,2023-12-22,2023-12-26,4.0,155.61,622.45,622.45,65.0,65.0,703.45,687.45,16.0,687.45,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,9,12,Medium,Friday,False
TEST59,2023-12-07,Confirmed,2023-12-08,2023-12-11,3.0,108.79,326.36,326.36,65.0,65.0,400.36,391.36,9.0,400.36,3,1,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,12,Medium,Friday,False
TEST60,2023-12-05,Confirmed,2023-12-05,2023-12-08,3.0,85.9,257.71,257.71,65.0,65.0,328.71,322.71,6.0,328.71,2,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,0,12,Medium,Tuesday,False
TEST61,2023-12-02,Confirmed,2023-12-02,2023-12-03,1.0,104.0,104.0,104.0,65.0,65.0,173.0,169.0,4.0,169.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,12,Medium,Saturday,True
TEST62,2023-11-30,Confirmed,2024-01-21,2024-01-23,2.0,95.4,190.8,190.8,65.0,65.0,263.8,255.8,8.0,255.8,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,52,1,Low,Sunday,True
TEST63,2023-11-29,Confirmed,2023-12-19,2023-12-21,2.0,110.7,221.4,221.4,65.0,65.0,292.4,286.4,6.0,292.4,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,20,12,Medium,Tuesday,False
TEST64,2023-11-23,Confirmed,2024-01-05,2024-01-08,3.0,151.2,453.6,453.6,65.0,65.0,533.6,518.6,15.0,518.6,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,43,1,Low,Friday,False
TEST65,2023-11-21,Confirmed,2023-12-29,2024-01-05,7.0,288.36,2018.52,2018.52,65.0,65.0,2118.52,2083.52,35.0,2118.52,5,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,38,12,Medium,Friday,False
TEST66,2023-11-19,Confirmed,2023-12-13,2023-12-18,5.0,117.02,585.09,585.09,65.0,65.0,680.09,650.09,30.0,680.09,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,24,12,Medium,Wednesday,False
TEST67,2023-11-14,Confirmed,2023-11-14,2023-11-15,1.0,91.0,91.0,91.0,65.0,65.0,160.0,156.0,4.0,156.0,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,0,11,Medium,Tuesday,False
TEST68,2023-11-14,Confirmed,2023-11-24,2023-12-01,7.0,125.67,879.66,879.66,65.0,65.0,972.66,944.66,28.0,972.66,4,0,0,Test home 1,123456,Test Modern apartments,Madrid,Airbnb.com,www.airbnb.com,10,11,Medium,Friday,False
TEST69,2023-11-09,Confirmed,2023-11-10,2023-11-13,3.0,137.31,411.93,411.93,165.0,165.0,594.93,576.93,18.0,594.93,6,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,1,11,Medium,Friday,False
TEST70,2023-11-04,Confirmed,2023-11-05,2023-11-08,3.0,93.0,279.0,279.0,65.0,65.0,347.0,344.0,3.0,347.0,1,0,0,Test home 1,123456,Test Modern apartments,Madrid,Olalahomes.com,www.olalahomes.com,1,11,Medium,Sunday,True
TEST71,2023-11-04,Confirmed,2023-11-16,2023-11-20,4.0,143.8,575.19,575.19,65.0,65.0,652.19,640.19,12.0,652.19,3,0,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,12,11,Medium,Thursday,False
TEST72,2023-10-30,Confirmed,2023-11-02,2023-11-05,3.0,195.36,586.08,586.08,65.0,65.0,660.08,651.08,9.0,660.08,3,2,0,Test home 1,123456,Test Modern apartments,Madrid,booking.com,www.booking.com,3,11,Medium,Thursday,False
